Model,MAE,RMSE,R2
Gradient Boosting,1.1917393751694658,2.825142841655738,0.6903212326425288
Random Forest,1.3841119999999976,3.3335926512417955,0.5688229193263865
Linear Regression,1.4117988356655382,2.431391852885185,0.770627936374337
